CULTURE,ID,SHORT_LABEL,MOBILE_LABEL,LAYER_NAME,HIDDEN,LAST_UPDT_USER,LAST_UPDT_DATE,VERSION,DB_ID,ROW_ID,STATUS,REV_GRP_ID
en-US,TYPE.CP_READ.DB_ID,Last Update DB,NULL,STD,FALSE,NULL,28:53.6,21e5b467d9cd4976b9e045e4325616cf,NULL,a0570e03efde48c89bdb2d2491eb7751,NULL,NULL
ru-RU,TYPE.CP_READ.DB_ID,Last Update DB,NULL,STD,FALSE,NULL,28:53.6,3b52dcaebc2e45499a0426de87b004b1,NULL,d6327f5f5bc341619e3858a28796aa77,NULL,NULL
ru-RU,TYPE.CP_READ.END_DATETIME,Дата/время окончания,NULL,STD,FALSE,SYSTEM,56:00.2,d6b12233e8b64edb90e13271d00f04a0,NULL,2a07d7bf259e46fda9a9f4b2c2f1ead3,NULL,NULL
en-US,TYPE.CP_READ.END_DATETIME,End Datetime,NULL,STD,FALSE,NULL,28:53.6,2a528a86f84b4c6cacd1893f534aeea7,NULL,af535e5ebdf14942b852744949ab9266,NULL,NULL
en-US,TYPE.CP_READ.EVENT_TYPE,Event Type,NULL,STD,FALSE,NULL,28:53.6,8e87b4da5e974532b9c7979a9a25ac52,NULL,ad209544350e4d33a98984e4583126dc,NULL,NULL
ru-RU,TYPE.CP_READ.EVENT_TYPE,Event Type,NULL,STD,FALSE,NULL,28:53.6,3ed3b26083fa4f599639d4b0b03d5702,NULL,84293fa150224513997126ae25685b1c,NULL,NULL
ru-RU,TYPE.CP_READ.ITEM_ID,Item ID,NULL,STD,FALSE,NULL,28:53.6,b49cd87c72b141ec9955cda92f57d63e,NULL,28ec40689bfd4477ab221c96ec9e9d29,NULL,NULL
en-US,TYPE.CP_READ.ITEM_ID,Item ID,NULL,STD,FALSE,NULL,28:53.6,5eff07b585ca44ae8b06e6674c9df40b,NULL,cddf6e1e69a8479c8ede600e233c3841,NULL,NULL
en-US,TYPE.CP_READ.LAST_UPDT_DATE,Last Update Date,NULL,STD,FALSE,NULL,28:53.6,0dee5b036c274a319090e83c610bcd44,NULL,970c0fb281304ffb935c9bf6b57a2564,NULL,NULL
ru-RU,TYPE.CP_READ.LAST_UPDT_DATE,Дата изменения,NULL,STD,FALSE,SYSTEM,56:00.2,246a62110ecb4149a08cb9163f698ee8,NULL,36f8ac4dafe1416d81f1c693b6d91602,NULL,NULL
ru-RU,TYPE.CP_READ.LAST_UPDT_USER,Пользователь,NULL,STD,FALSE,SYSTEM,56:00.2,e577d2102bd34e6d9e4c69e7c6d09827,NULL,985ed7b49ef945b69a66b139bb25bd7f,NULL,NULL
en-US,TYPE.CP_READ.LAST_UPDT_USER,Last Update User,NULL,STD,FALSE,NULL,28:53.6,001f101abec746bab221564c58d08cd2,NULL,6cf0803ddedb496cbfe6f4cfa7f785cb,NULL,NULL
en-US,TYPE.CP_READ.PERIOD,Period,NULL,STD,FALSE,NULL,28:53.6,e482530a52ca401499938e668bd192f4,NULL,f9dca15584e34eb1a1fe296a2fcf8f55,NULL,NULL
ru-RU,TYPE.CP_READ.PERIOD,Period,NULL,STD,FALSE,NULL,28:53.6,ad5f20e784f946f182c0fbf33df85b87,NULL,396c533b1fc34f8e86a8788b4d1bc127,NULL,NULL
